acclimatisation	acclimatization
acclimatise	acclimatize
acclimatised	acclimatized
acclimatising	acclimatizing
actualisation	actualization
actualise	actualize
actualised	actualized
actualising	actualizing
aeon	eon
aeons	eons
aeroplane	airplane
aetiology	etiology
aggrandise	aggrandize
aggrandised	aggrandized
aggrandisement	aggrandizement
aggrandising	aggrandizing
agonise	agonize
agonised	agonized
agonisedly	agonizedly
agonising	agonizing
agonisingly	agonizingly
aluminium	aluminum
amoeba	ameba
amoebas	amebas
amoebic	amebic
amortisation	amortization
amortise	amortize
amortised	amortized
amortising	amortizing
amphitheatre	amphitheater
anaemia	anemia
anaemic	anemic
anaesthesia	anesthesia
anaesthetically	anesthetically
anaesthetic	anesthetic
anaesthetics	anesthetics
anaesthetist	anesthetist
anaesthetists	anesthetists
analyse	analyze
analysed	analyzed
analyser	analyzer
analysing	analyzing
antagonise	antagonize
antagonised	antagonized
antagonising	antagonizing
apologise	apologize
apologised	apologized
apologising	apologizing
appetiser	appetizer
appetising	appetizing
arbour	arbor
arbours	arbors
ardour	ardor
armour	armor
armoured	armored
armouring	armoring
armours	armors
armoury	armory
atomisation	atomization
atomise	atomize
atomised	atomized
atomiser	atomizer
atomising	atomizing
authorisation	authorization
authorise	authorize
authorised	authorized
authorising	authorizing
baptise	baptize
baptised	baptized
baptising	baptizing
bedevilled	bedeviled
bedevilling	bedeviling
behavioural	behavioral
behaviourally	behaviorally
behaviour	behavior
behaviourism	behaviorism
behaviours	behaviors
belabour	belabor
belaboured	belabored
belabouring	belaboring
belabours	belabors
bevelled	beveled
bevelling	beveling
blowsy	blowzy
bougie	bogie
bourne	borne
bowdlerise	bowdlerize
bowdlerised	bowdlerized
bowdlerising	bowdlerizing
breathalyser	breathalyzer
brutalise	brutalize
brutalised	brutalized
brutalising	brutalizing
bureaucratisation	bureaucratization
caecum	cecum
caesium	cesium
calibre	caliber
callipers	calipers
canalisation	canalization
canalise	canalize
canalised	canalized
canalising	canalizing
cancelled	canceled
cancelling	canceling
candour	candor
cannibalise	cannibalize
cannibalised	cannibalized
cannibalising	cannibalizing
canonise	canonize
canonised	canonized
canonising	canonizing
capitalisation	capitalization
capitalise	capitalize
capitalised	capitalized
capitalising	capitalizing
caramelise	caramelize
caramelised	caramelized
caramelising	caramelizing
carbonise	carbonize
carbonised	carbonized
carbonising	carbonizing
carolled	caroled
caroller	caroler
carollers	carolers
carolling	caroling
catechise	catechize
categorisation	categorization
categorise	categorize
categorised	categorized
categorising	categorizing
cauterisation	cauterization
cauterise	cauterize
cauterised	cauterized
cauterising	cauterizing
cavilled	caviled
caviller	caviler
cavillers	cavilers
cavilling	caviling
centilitre	centiliter
centimetre	centimeter
centralisation	centralization
centralise	centralize
centralised	centralized
centralising	centralizing
centre	center
channelled	channeled
channelling	channeling
characterisation	characterization
characterise	characterize
characterised	characterized
characterising	characterizing
chilli	chili
chiselled	chiseled
chiselling	chiseling
circularise	circularize
civilisation	civilization
civilise	civilize
civilised	civilized
civilising	civilizing
clamour	clamor
